id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
321198,UA-0102,closed,"Lyneya Airstrip",51.413316,30.87469,446,EU,Ukraine,UA,"Chernihiv Oblast",UA-74,74,Kovpyta,0,,,,,,,50,2022-11-10T13:48:28+00:00
31774,UKCK,small_airport,"Kramatorsk Airport",48.706799,37.630922,646,EU,Ukraine,UA,"Donetsk Oblast",UA-14,14,Kramatorsk,0,UKCK,KRQ,,,,,50,2021-04-11T13:49:45+00:00
320485,UA-0088,small_airport,"Chervonobirka Airstrip",50.588009,29.264402,,EU,Ukraine,UA,"Zhytomyr Oblast",UA-18,18,Krasnobirka,0,,,,,,,50,2021-01-27T15:59:19+00:00
44298,UA-0013,small_airport,"Risovoye Airfield",45.995499,33.681017,,EU,Ukraine,UA,"Crimea (Autonomous Republic)",UA-43,43,Krasnoperekopsk,0,,,,,,"Risovoe Airfield, Аэродром Рисовое",50,2021-12-30T16:02:12+00:00
45179,UA-0050,small_airport,"Kakhnovka Airfield",49.136799,33.477893,266,EU,Ukraine,UA,"Poltava Oblast",UA-53,53,Kremenchuk,0,UKHK,KHU,,,https://en.wikipedia.org/wiki/Kremenchuk_Airport,"Аэродром Кахновка, Velyka Kokhnivka",50,2021-12-30T16:06:47+00:00
321182,UA-0099,small_airport,"Kremydivka Airfield",46.758049,30.792846,250,EU,Ukraine,UA,"Odessa Oblast",UA-51,51,Kremydivka,0,,,,,,,50,2021-03-19T13:57:23+00:00
316279,UA-0078,small_airport,"Chervonoarmiis'ke Airstrip",45.791888,28.72434,,EU,Ukraine,UA,"Odessa Oblast",UA-51,51,Kubei,0,,,,,,,50,2021-12-30T15:16:09+00:00
46120,UA-0054,small_airport,"Kupyansk Air Base",49.684,37.715,,EU,Ukraine,UA,"Kharkiv Oblast",UA-63,63,Kupyansk,0,UKHU,,,,,"Аэродром Купянск",50,2023-09-21T14:33:01+00:00
321716,UA-0113,small_airport,"Lanivtsi Airstrip",49.84537,26.116193,,EU,Ukraine,UA,"Ternopil Oblast",UA-61,61,Lanivtsi,0,,,,,,,50,2021-01-27T16:02:22+00:00
340331,UA-0136,small_airport,"Lazume Airfield",46.0838,32.5075,3,EU,Ukraine,UA,"Kherson Oblast",UA-65,65,Lazume,0,,,,,,,50,2021-12-30T15:50:21+00:00
